Macro:  (0.50274426916361414, 0.41480187625497678, 0.44084457915797792, None)
Micro:  (0.63532171943260884, 0.63532171943260884, 0.63532171943260884, None)
Weighted:  (0.63438226341834214, 0.63532171943260884, 0.63221458769545191, None)
                                           precision    recall  f1-score   support

                  __label__TelevisionShow       0.38      0.42      0.40       452
               __label__TelevisionStation       0.43      0.55      0.48        67
                    __label__TennisPlayer       0.34      0.37      0.36       162
                __label__TennisTournament       0.88      0.77      0.82       139
                         __label__Theatre       0.53      0.36      0.43        22
                           __label__Tower       1.00      0.33      0.50        15
                       __label__TrackList       0.00      0.00      0.00         1
                      __label__TradeUnion       0.70      0.41      0.52        46
                           __label__Train       0.62      0.62      0.62       130
                   __label__TrainCarriage       0.25      0.33      0.29         3
                     __label__TramStation       0.00      0.00      0.00         4
                          __label__Treaty       0.70      0.30      0.42        23
                          __label__Tunnel       0.00      0.00      0.00         8
              __label__UndergroundJournal       0.00      0.00      0.00         1
                      __label__University       0.81      0.75      0.78       308
                           __label__Vicar       0.00      0.00      0.00         4
                       __label__VideoGame       0.30      0.33      0.32       145
                      __label__WaterTower       0.70      0.70      0.70        10
                       __label__Watermill       0.25      0.08      0.12        26
                  __label__WaterwayTunnel       1.00      0.25      0.40         4
                         __label__Website       0.25      0.09      0.13        46
                       __label__WindMotor       0.62      0.19      0.29        26
                        __label__Windmill       0.62      0.56      0.59       200
               __label__WinterSportPlayer       0.00      0.00      0.00         9
               __label__WorldHeritageSite       0.35      0.36      0.36       248
                        __label__Wrestler       0.25      0.17      0.20       151
                          __label__Writer       0.24      0.27      0.26       587
                     __label__WrittenWork       0.50      0.54      0.52        13
                             __label__Zoo       0.22      0.25      0.24        16

                              avg / total       0.63      0.64      0.63     74164

